"id","age","male","eduyears","employed","income"
347,40,1,9.5,1,3000
348,40,1,12.5,1,2000
349,36,1,9.5,1,1000
350,53,1,12.5,1,430
350,51,0,9.5,1,200
350,22,1,12.5,1,250
350,20,1,12.5,1,240
350,28,1,14,1,400
351,29,0,12.5,1,1375
352,38,0,7,1,1950
353,39,0,7,1,2100
354,67,0,3.5,1,1950
355,67,0,3.5,1,740
356,59,1,3.5,1,850
356,58,0,3.5,1,150
356,18,1,9.5,1,30
356,20,1,9.5,1,300
357,47,1,7,1,900
358,48,1,7,1,400
360,29,1,9.5,1,280
361,19,1,9.5,1,NA
363,30,1,9.5,1,280
364,19,1,9.5,1,NA
365,49,1,7,1,2400
366,57,0,7,1,70
366,29,1,14,1,850
366,26,0,12.5,1,300
366,23,1,9.5,1,400
366,22,0,9.5,1,90
367,30,1,14,1,300
367,27,0,12.5,1,250
368,30,1,7,1,800
369,30,1,7,1,1000
370,57,1,7,1,450
371,26,1,12.5,1,3500
372,29,0,7,1,630
372,17,0,9.5,1,80
373,59,1,7,1,800
373,25,1,12.5,1,400
374,37,1,17,1,900
374,40,0,17,1,1620
375,57,1,17,1,NA
375,56,0,17,1,NA
375,25,0,17,1,NA
376,40,0,7,1,600
377,48,1,14,1,3000
377,47,0,12.5,1,350
378,48,1,12.5,1,1000
378,47,0,9.5,1,200
379,32,1,14,1,1220
379,31,0,12.5,1,500
380,36,1,12.5,1,1000
381,26,1,12.5,1,1100
382,28,1,12.5,1,1300
383,29,1,7,1,800
383,54,1,7,1,500
384,26,1,7,1,240
385,29,1,14,1,NA
386,55,1,7,1,2100
386,28,1,9.5,1,150
386,26,0,9.5,1,180
388,26,1,17,1,800
389,45,0,17,1,1500
390,53,1,7,1,650
390,52,0,9.5,1,450
391,63,0,7,1,NA
393,51,1,7,1,550
393,21,1,9.5,1,450
393,19,0,9.5,1,300
394,38,1,17,1,2000
395,42,1,12.5,1,1500
395,40,0,17,1,700
395,19,1,9.5,1,500
396,51,1,7,1,1000
397,56,1,17,1,7450
397,28,1,17,1,NA
398,34,1,12.5,1,250
398,27,0,12.5,1,250
398,21,0,7,1,250
399,59,0,3.5,1,850
400,19,1,9.5,1,400
401,43,0,17,1,400
401,22,0,17,1,300
403,43,1,12.5,1,600
404,63,0,17,1,2100
404,38,1,14,1,NA
404,27,1,14,1,NA
405,20,1,12.5,1,1570
406,21,1,12.5,1,640
407,35,0,17,1,NA
407,33,0,14,1,NA
408,40,0,17,1,3400
409,41,0,17,1,2600
410,60,1,9.5,1,1250
411,61,1,9.5,1,1150
412,29,0,12.5,1,1300
413,29,0,9.5,1,1200
414,53,1,12.5,1,1100
414,29,1,12.5,1,NA
415,38,1,17,1,2000
416,37,1,3.5,1,1700
417,38,1,3.5,1,2800
418,33,1,7,1,1400
418,34,0,9.5,1,820
419,32,1,7,1,920
419,34,0,9.5,1,400
421,59,1,3.5,1,1200
421,57,0,7,1,700
422,45,0,12.5,1,400
423,45,0,9.5,1,360
424,33,0,12.5,1,450
425,39,0,3.5,1,200
426,33,0,12.5,1,480
427,39,0,3.5,1,250
428,35,1,9.5,1,900
428,35,0,9.5,1,60
429,35,1,9.5,1,800
429,35,0,7,1,60
429,17,0,9.5,1,500
430,52,1,17,1,11400
431,52,1,17,1,8000
432,37,0,12.5,1,1350
435,27,1,17,1,1500
437,43,0,17,1,1535
437,18,1,9.5,1,250
438,55,1,9.5,1,400
438,26,0,14,1,400
438,51,0,14,1,1075
439,52,1,17,1,2000
439,51,0,14,1,600
439,26,1,14,1,800
439,20,1,14,1,247
440,53,1,17,1,2200
440,51,0,14,1,600
440,20,1,14,1,247
442,55,1,9.5,1,430
442,51,0,7,1,140
442,31,0,14,1,80
443,51,0,7,1,400
444,46,1,7,1,350
444,40,0,7,1,300
445,43,0,7,1,120
449,63,1,12.5,1,1050
449,57,0,12.5,1,200
450,53,1,7,1,500
451,42,1,7,1,250
452,43,1,7,1,400
453,57,0,3.5,1,517
455,50,1,7,1,300
455,22,1,9.5,1,350
456,23,1,9.5,1,500
457,22,1,7,1,300
458,50,1,3.5,1,350
458,46,0,9.5,1,170
458,22,1,7,1,400
459,34,1,3.5,1,200
460,29,1,14,1,1650
460,29,0,14,1,1600
460,56,0,3.5,1,1350
461,54,1,17,1,2800
461,51,0,17,1,3300
462,39,1,14,1,800
462,40,0,17,1,1100
463,26,1,14,1,800
465,55,1,12.5,1,1630
465,21,1,12.5,1,690
466,51,0,17,1,1500
467,45,1,7,1,2000
467,42,0,9.5,1,3500
468,39,0,12.5,1,1367
469,43,1,17,1,1900
469,34,0,17,1,1400
470,48,0,17,1,750
470,30,1,9.5,1,800
470,25,0,9.5,1,620
471,57,1,7,1,850
471,30,0,12.5,1,250
472,32,1,12.5,1,1000
473,57,0,7,1,150
473,50,1,9.5,1,1100
474,34,1,12.5,1,1500
474,30,0,12.5,1,NA
475,45,1,9.5,1,785
475,23,0,12.5,1,700
476,25,1,7,1,480
477,35,1,12.5,1,1100
480,65,1,12.5,1,2000
481,70,1,12.5,1,3000
481,27,0,14,1,800
482,71,1,12.5,1,2000
483,42,1,17,1,1100
484,57,0,12.5,1,800
484,26,1,14,1,80
485,57,0,12.5,1,800
485,27,1,14,1,80
486,43,1,14,1,4800
486,46,0,14,1,2400
486,34,1,14,1,NA
487,43,1,14,1,4000
487,46,0,14,1,1800
487,34,0,14,1,NA
488,70,0,17,1,NA
490,40,1,12.5,1,3000
490,40,0,17,1,2130
491,40,1,12.5,1,2200
491,40,0,17,1,1830
492,43,0,3.5,1,250
492,22,1,9.5,1,400
492,20,1,9.5,1,300
493,43,0,3.5,1,NA
493,20,1,9.5,1,NA
493,16,1,9.5,1,NA
494,44,0,17,1,NA
494,41,1,12.5,1,NA
495,44,0,17,1,700
495,41,1,12.5,1,500
497,65,1,17,1,2000
498,66,1,17,1,2000
503,65,0,3.5,1,350
503,28,1,9.5,1,400
504,65,0,3.5,1,650
505,67,1,7,1,977
505,66,0,9.5,1,150
506,67,1,7,1,NA
506,66,0,9.5,1,200
507,49,1,7,1,350
507,24,0,14,1,150
507,26,1,9.5,1,350
508,37,1,3.5,1,800
509,49,1,3.5,1,250
509,29,1,9.5,1,400
509,21,0,9.5,1,300
510,39,0,7,1,280
511,55,0,17,1,5530
512,59,0,17,1,NA
513,28,1,17,1,3800
514,28,1,7,1,200
515,34,0,12.5,1,1100
517,52,1,9.5,1,1680
517,25,1,12.5,1,NA
518,70,1,17,1,NA
518,47,0,17,1,NA
519,41,1,9.5,1,2000
519,51,0,14,1,2100
520,50,1,17,1,2500
521,67,1,3.5,1,300
521,60,0,3.5,1,300
522,24,1,9.5,1,350
522,23,0,12.5,1,50
523,52,0,17,1,2200
524,62,0,3.5,1,600
525,34,0,14,1,380
526,60,0,3.5,1,400
526,32,1,7,1,1250
529,41,1,12.5,1,400
529,38,0,9.5,1,150
530,31,1,17,1,1800
530,32,0,17,1,1700
531,57,1,3.5,1,600
531,50,0,9.5,1,300
532,39,0,14,1,NA
533,37,0,12.5,1,1400
535,25,0,7,1,150
536,24,1,12.5,1,1200
537,33,0,7,1,100
537,24,1,7,1,160
538,41,1,7,1,700
538,38,0,7,1,450
539,48,1,12.5,1,1200
540,35,1,9.5,1,1590
540,32,0,9.5,1,3150
543,26,0,12.5,1,200
544,41,1,17,1,2200
549,43,1,17,1,1200
549,40,0,17,1,980
550,38,1,9.5,1,1700
550,46,0,12.5,1,150
551,39,1,9.5,1,1700
552,59,1,7,1,800
552,54,0,9.5,1,720
552,28,1,17,1,1200
552,25,1,12.5,1,500
553,59,1,7,1,400
553,54,0,12.5,1,800
553,28,1,17,1,600
553,25,1,12.5,1,400
554,46,1,9.5,1,100
555,47,1,12.5,1,3950
556,47,1,12.5,1,3000
558,22,0,9.5,1,2800
558,31,1,12.5,1,2400
559,61,1,12.5,1,800
559,59,0,12.5,1,200
559,62,0,14,1,1200
560,47,1,17,1,3000
560,47,0,17,1,2000
561,26,1,3.5,1,1840
562,18,1,9.5,1,1200
562,56,1,3.5,1,1500
563,37,1,9.5,1,1200
564,38,1,9.5,1,1000
565,51,1,3.5,1,300
566,51,1,3.5,1,800
566,27,1,7,1,840
567,43,0,3.5,1,150
568,23,0,12.5,1,150
568,27,1,7,1,300
569,24,0,12.5,1,150
569,28,1,7,1,500
570,57,0,7,1,220
570,26,1,7,1,300
571,58,0,7,1,150
571,21,1,7,1,600
571,26,1,7,1,600
572,66,1,12.5,1,2000
575,48,1,12.5,1,2800
576,45,0,12.5,1,1248
576,25,1,12.5,1,450
576,24,0,12.5,1,120
577,19,0,12.5,1,500
578,43,1,9.5,1,1000
578,36,0,17,1,800
579,43,1,9.5,1,1200
579,36,0,17,1,1000
580,35,1,17,1,1200
580,40,0,17,1,2220
581,36,0,17,1,260
582,41,0,12.5,1,800
583,19,1,3.5,1,200
583,17,1,7,1,280
584,21,1,9.5,1,170
584,16,1,7,1,340
584,22,0,9.5,1,700
585,45,0,3.5,1,700
586,25,0,7,1,300
589,30,0,9.5,1,150
589,29,0,14,1,200
589,30,1,7,1,300
590,51,1,9.5,1,1200
591,28,1,3.5,1,750
591,24,0,3.5,1,200
592,28,1,3.5,1,600
594,49,1,17,1,NA
594,23,0,17,1,NA
597,46,1,7,1,2000
598,29,0,17,1,200
599,50,1,7,1,1880
599,24,0,12.5,1,80
600,46,0,17,1,800
601,31,1,12.5,1,3000
603,28,0,17,1,1200
605,54,1,17,1,1200
606,44,1,14,1,900
606,44,0,17,1,1200
607,38,1,14,1,500
609,40,1,7,1,500
610,72,1,3.5,1,600
610,42,0,9.5,1,1800
610,22,1,9.5,1,1600
611,65,1,17,1,2600
612,65,1,17,1,2000
615,58,0,14,1,900
616,59,0,14,1,934
619,57,0,7,1,300
620,58,0,7,1,350
621,43,1,14,1,1000
622,43,1,14,1,1500
623,44,0,17,1,600
624,44,0,17,1,600
625,17,1,9.5,1,150
627,64,1,9.5,1,NA
628,37,0,7,1,280
629,44,1,14,1,2000
630,25,1,9.5,1,380
630,26,0,9.5,1,300
631,40,1,7,1,500
631,43,0,9.5,1,120
631,24,1,12.5,1,150
631,23,0,12.5,1,120
632,41,0,7,1,1020
632,31,1,9.5,1,1600
632,19,1,9.5,1,2200
633,36,1,17,1,3000
633,34,0,17,1,1500
634,45,0,9.5,1,NA
635,32,1,9.5,1,NA
636,35,1,7,1,950
637,37,1,7,1,1200
637,33,0,17,1,600
638,60,1,7,1,1200
638,59,0,7,1,160
638,32,1,9.5,1,700
639,60,1,14,1,1500
640,46,1,12.5,1,250
640,30,1,12.5,1,NA
641,48,0,17,1,3120
642,52,1,7,1,1100
642,28,0,14,1,840
643,47,1,12.5,1,1900
643,43,0,7,1,680
643,23,0,12.5,1,600
644,50,0,12.5,1,1110
646,54,0,3.5,1,700
647,32,0,12.5,1,800
647,30,1,9.5,1,800
647,23,0,12.5,1,1100
648,33,0,9.5,1,900
648,24,0,12.5,1,NA
649,53,1,7,1,1000
652,42,1,12.5,1,1100
653,40,1,12.5,1,2000
653,38,0,17,1,3000
654,46,1,3.5,1,1030
654,39,0,3.5,1,270
655,38,1,7,1,800
656,51,1,7,1,2550
657,38,0,7,1,760
657,20,0,9.5,1,365
658,61,0,3.5,1,150
659,44,0,7,1,530
659,28,1,12.5,1,700
659,20,1,9.5,1,110
660,30,1,9.5,1,NA
661,53,1,7,1,300
661,52,0,9.5,1,350
661,27,1,12.5,1,1305
661,23,0,12.5,1,500
662,56,1,7,1,1200
663,28,1,12.5,1,940
664,28,1,12.5,1,1350
665,36,1,17,1,1150
665,30,0,9.5,1,150
666,36,1,17,1,1000
666,30,0,7,1,600
667,60,1,17,1,NA
668,24,1,9.5,1,1800
668,34,0,17,1,2100
669,24,1,12.5,1,1300
669,34,0,17,1,1800
671,52,0,14,1,3750
672,67,1,14,1,3060
672,52,0,14,1,2600
672,29,0,14,1,300
673,45,1,14,1,1150
674,45,1,14,1,450
675,58,1,3.5,1,450
675,50,0,3.5,1,150
675,24,1,9.5,1,450
676,52,0,3.5,1,150
676,24,1,17,1,450
677,39,1,17,1,3000
678,61,1,12.5,1,1200
680,41,1,17,1,NA
681,45,1,7,1,700
681,36,0,7,1,1500
682,36,0,7,1,2000
683,56,1,7,1,1200
683,26,0,17,1,1400
684,56,1,7,1,900
684,25,0,17,1,550
687,56,1,7,1,NA
687,56,0,14,1,200
687,21,0,9.5,1,850
688,62,1,7,1,700
689,62,1,7,1,600
690,51,1,7,1,500
690,44,0,12.5,1,1200
691,51,1,9.5,1,900
691,43,0,12.5,1,2050
692,31,1,17,1,2735
693,31,1,17,1,2900
694,45,0,7,1,1500
695,47,1,9.5,1,NA
696,43,1,7,1,1000
697,49,1,3.5,1,780
697,29,0,7,1,100
698,60,1,3.5,1,450
699,68,1,3.5,1,200
699,41,0,3.5,1,150
700,39,1,7,1,600
