"","entidad","hogid","iid","year","n002","n009","enroll_child","contba","pobreden","villid","panel","r042","r044a","r044b","r045","yycali","mpcalif","mppob","sex","lang","ageHH","sexHH","edu","eduHH","schyear","m1","m2","age","paths","attrit","D","pov_HH","D_HH","uniqhh","D_assign","maxcut","z","E"
"11792",16,470650,4706506,1999,14,"","si","basal","pobre",16047068,1,"si",6,"primaria",6,666,3.25,1,"Female","Non Indigenous",55,1,700,0,"1st Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,690.68,-24.6799999999999,1
"11793",16,653141,6531416,1999,15,"","0","basal","pobre",16034431,1,"si",6,"primaria",6,666,1.05,1,"Female","Non Indigenous",52,1,600,200,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,690.68,-24.6799999999999,1
"11797",16,470650,4706505,1999,14,"","si","basal","pobre",16047068,1,"si",6,"primaria",6,666,3.25,1,"Female","Non Indigenous",55,1,600,0,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,0,1,690.68,-24.6799999999999,1
"11803",16,469480,4694806,1999,16,"","0","basal","pobre",16031037,1,"si",6,"primaria",6,571,2.13,1,"Female","Non Indigenous",44,1,600,100,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,690.68,-119.68,1
"11807",16,470650,4706504,1999,16,"","si","basal","pobre",16047068,1,"si",6,"primaria",6,666,3.25,1,"Female","Non Indigenous",55,1,600,0,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,0,1,690.68,-24.6799999999999,1
"11832",16,471000,4710004,1999,15,"","si","basal","pobre",16047068,1,"si",1,"secundaria",6,550,5.14,1,"Male","Non Indigenous",36,1,500,100,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,690.68,-140.68,1
"11837",16,685795,6857955,1999,15,"","0","basal","pobre",16022002,1,"si",6,"primaria",6,666.75,1.71,1,"Male","Non Indigenous",42,1,500,300,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,0,1,690.68,-23.9299999999999,1
"11848",16,306867,3068674,1999,16,"","0","basal","pobre",16077015,1,"si",1,"secundaria",6,651,1.29,1,"Female","Non Indigenous",44,1,600,200,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,690.68,-39.6799999999999,1
"11854",16,686529,6865295,1999,18,"","0","basal","pobre",16053060,1,"",NA,"",NA,553,1.95,1,"Male","Non Indigenous",48,1,800,200,"2nd Secondary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,0,1,690.68,-137.68,1
"11863",16,609966,6099666,1999,15,"","si","basal","pobre",16082075,1,"si",5,"primaria",7,553,2.95,1,"Female","Non Indigenous",51,1,500,0,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,0,1,690.68,-137.68,1
"11871",16,658896,6588963,1999,14,"","0","basal","pobre",16079051,1,"si",6,"primaria",6,612,2.44,1,"Female","Non Indigenous",37,1,600,200,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,690.68,-78.6799999999999,1
"11873",16,649796,6497964,1999,12,"","si","basal","pobre",16046017,1,"si",5,"primaria",6,473,3.74,1,"Female","Non Indigenous",51,1,500,400,"5th primary","matched (3)","matched (3)",12,"1 1 1",0,1,1,1,0,1,690.68,-217.68,1
"11890",16,412859,4128595,1999,16,"","0","basal","pobre",16050154,1,"si",5,"primaria",6,553.86,4.13,1,"Male","Non Indigenous",49,1,500,0,"5th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,690.68,-136.82,1
"11894",16,653240,6532405,1999,16,"","0","basal","no pobre",16047068,1,"si",1,"secundaria",6,731,1.31,1,"Female","Non Indigenous",54,1,700,0,"1st Secondary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,1,1,690.68,40.3200000000001,0
"11907",16,451612,4516123,1999,18,"","0","basal","pobre",16079060,1,"",NA,"",NA,319,4.18,1,"Female","Non Indigenous",37,1,600,200,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,0,1,690.68,-371.68,1
"11909",16,654089,6540894,1999,14,"","si","basal","pobre",16034431,1,"",NA,"",NA,644,0.84,1,"Female","Non Indigenous",37,1,500,400,"5th primary","using only (2)","matched (3)",14,"1 . 1",1,1,1,NA,1,1,690.68,-46.6799999999999,1
"11913",16,618345,6183453,1999,17,"","0","basal","pobre",16081027,1,"si",6,"primaria",6,373,4.37,1,"Male","Non Indigenous",54,1,600,0,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,0,1,690.68,-317.68,1
"11914",16,566750,5667502,1999,18,"","0","basal","pobre",16077047,1,"",NA,"",NA,729,1.03,1,"Female","Non Indigenous",47,0,600,0,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,0,0,1,1,690.68,38.3200000000001,0
"11919",16,654191,6541917,1999,12,"","0","basal","pobre",16112029,1,"si",3,"primaria",6,559,3.99,1,"Male","Non Indigenous",48,1,500,100,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,1,1,1,1,690.68,-131.68,1
"11932",16,451626,4516264,1999,16,"","si","basal","pobre",16053033,1,"si",2,"secundaria",6,673,1.11,1,"Female","Non Indigenous",45,1,700,300,"1st Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,690.68,-17.6799999999999,1
"11941",16,641149,6411492,1999,15,"","si","basal","pobre",16013029,1,"si",6,"primaria",6,576,3.85,1,"Female","Non Indigenous",34,1,600,400,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,690.68,-114.68,1
"11947",16,306615,3066154,1999,13,"","si","basal","pobre",16077015,1,"si",6,"primaria",6,555,3.33,1,"Female","Non Indigenous",76,0,500,0,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,1,1,0,1,690.68,-135.68,1
"11949",16,160099,1600996,1999,16,"","0","basal","pobre",16050005,1,"si",5,"primaria",6,460.75,4.88,1,"Female","Non Indigenous",40,1,500,200,"5th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,0,1,690.68,-229.93,1
"11954",16,640425,6404257,1999,12,"","si","basal","pobre",16046017,1,"si",5,"primaria",6,475,4.11,1,"Female","Non Indigenous",50,1,500,100,"5th primary","matched (3)","matched (3)",12,"1 1 1",0,1,1,1,1,1,690.68,-215.68,1
"11961",16,657762,6577625,1999,14,"","si","basal","pobre",16079060,1,"si",1,"secundaria",5,672.5,1.66,1,"Female","Non Indigenous",42,1,600,200,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,0,1,690.68,-18.1799999999999,1
"11970",16,220936,2209367,1999,16,"","0","basal","pobre",16017010,1,"si",6,"primaria",6,716,2.05,1,"Female","Non Indigenous",47,1,600,200,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,0,0,1,1,690.68,25.3200000000001,0
"11991",16,470360,4703603,1999,14,"","si","basal","pobre",16031037,1,"si",6,"primaria",6,657.5,2.36,1,"Female","Non Indigenous",44,1,500,0,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,1,1,1,1,690.68,-33.1799999999999,1
"11993",16,465620,4656204,1999,15,"","0","basal","pobre",16082178,1,"si",2,"secundaria",6,683,0.77,1,"Female","Non Indigenous",64,0,700,200,"1st Secondary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,690.68,-7.67999999999995,1
"11999",16,653505,6535053,1999,16,"","0","basal","pobre",16035025,1,"si",2,"secundaria",6,436,2.26,1,"Female","Non Indigenous",33,1,700,600,"1st Secondary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,0,1,690.68,-254.68,1
"12000",16,160345,1603455,1999,13,"","si","basal","pobre",16038084,1,"si",1,"secundaria",6,486,2.81,1,"Female","Non Indigenous",38,1,500,200,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,1,1,0,1,690.68,-204.68,1
"12002",16,471350,4713503,1999,18,"","0","basal","pobre",16112018,1,"",NA,"",NA,755,1.54,1,"Male","Non Indigenous",77,1,600,100,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,0,0,1,1,690.68,64.3200000000001,0
"12005",16,654086,6540864,1999,15,"","0","basal","pobre",16050038,1,"si",6,"primaria",6,620,0.58,0,"Female","Non Indigenous",42,1,600,600,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,0,1,690.68,-70.6799999999999,1
"12014",16,654033,6540336,1999,14,"","si","basal","pobre",16079060,1,"",NA,"",NA,555,1.86,1,"Female","Non Indigenous",40,1,600,400,"6th primary","using only (2)","matched (3)",14,"1 . 1",1,1,1,NA,1,1,690.68,-135.68,1
"12018",16,640003,6400032,1999,14,"","0","basal","pobre",16099088,1,"si",1,"secundaria",6,556,2.82,1,"Female","Non Indigenous",32,0,600,600,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,690.68,-134.68,1
"12026",16,646509,6465095,1999,16,"","si","basal","pobre",16047018,1,"si",6,"primaria",6,365.5,4.77,1,"Female","Non Indigenous",70,1,600,0,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,690.68,-325.18,1
"12027",16,470740,4707405,1999,17,"","0","basal","no pobre",16047068,1,"si",1,"secundaria",6,736,1.69,1,"Female","Non Indigenous",42,1,600,200,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,1,1,690.68,45.3200000000001,0
"12053",16,648093,6480933,1999,15,"","0","basal","pobre",16009080,1,"si",5,"primaria",6,807,1.2,1,"Male","Non Indigenous",46,1,700,300,"1st Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,0,0,1,1,690.68,116.32,0
"12077",16,306582,3065827,1999,14,"","si","basal","no pobre",16077086,1,"si",1,"secundaria",6,735.75,2.91,1,"Female","Non Indigenous",52,1,700,0,"1st Secondary","matched (3)","matched (3)",14,"1 1 1",0,1,0,0,0,1,690.68,45.0700000000001,0
"12078",16,654148,6541486,1999,12,"","si","basal","pobre",16047068,1,"si",5,"primaria",6,707.5,0.9,1,"Female","Non Indigenous",45,1,500,300,"5th primary","matched (3)","matched (3)",12,"1 1 1",0,1,0,0,0,1,690.68,16.8200000000001,0
"12083",16,567050,5670505,1999,15,"","si","basal","pobre",16077047,1,"si",6,"primaria",6,545,2.44,1,"Male","Non Indigenous",48,1,500,200,"5th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,0,1,690.68,-145.68,1
"12094",16,648959,6489596,1999,17,"","0","basal","pobre",16046017,1,"no",NA,"",NA,719.33,2.11,1,"Male","Non Indigenous",56,1,600,200,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,0,1,690.68,28.6500000000001,0
"12098",16,652652,6526524,1999,13,"","si","basal","pobre",16047065,1,"si",6,"primaria",6,565,2.52,1,"Female","Non Indigenous",42,1,500,100,"5th primary","matched (3)","matched (3)",12,"1 1 1",0,1,1,1,0,1,690.68,-125.68,1
"12108",16,467471,4674716,1999,15,"","si","basal","pobre",16009102,1,"si",1,"secundaria",6,689.8,0.24,0,"Female","Non Indigenous",44,1,500,600,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,690.68,-0.879999999999995,1
"12114",16,465670,4656709,1999,15,"","si","basal","no pobre",16035025,1,"si",6,"primaria",6,729.75,2.11,1,"Female","Non Indigenous",57,1,700,200,"1st Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,0,0,0,1,690.68,39.0700000000001,0
"12121",16,641147,6411472,1999,17,"","0","basal","pobre",16013029,1,"",NA,"",NA,685,3.27,1,"Male","Non Indigenous",39,0,600,100,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,0,1,690.68,-5.67999999999995,1
"12139",16,567880,5678807,1999,14,"","0","basal","pobre",16112128,1,"si",6,"primaria",6,665.5,3.25,1,"Female","Non Indigenous",38,1,600,600,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,690.68,-25.1799999999999,1
"12147",16,469950,4699503,1999,14,"","0","basal","pobre",16031037,1,"si",1,"secundaria",6,494,3.45,1,"Female","Non Indigenous",41,1,600,600,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,0,1,690.68,-196.68,1
"12155",16,642026,6420266,1999,18,"","0","basal","pobre",16082075,1,"si",6,"primaria",7,690,4.29,1,"Male","Non Indigenous",40,1,600,100,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,1,1,690.68,-0.67999999999995,1
"12165",16,464230,4642304,1999,18,"","0","basal","no pobre",16009102,1,"si",6,"primaria",6,780.5,0.39,0,"Female","Non Indigenous",43,1,600,0,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,0,0,0,1,690.68,89.8200000000001,0
"12174",16,464130,4641302,1999,18,"","0","basal","pobre",16082178,1,"",NA,"",NA,649.34,3.54,1,"Female","Non Indigenous",42,0,600,300,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,1,1,690.68,-41.3399999999999,1
"12178",16,652869,6528698,1999,16,"","si","basal","no pobre",16079060,1,"si",6,"primaria",6,702,1.73,1,"Female","Non Indigenous",68,1,600,0,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,0,0,1,1,690.68,11.3200000000001,0
"12179",16,471830,4718304,1999,16,"","0","basal","pobre",16112018,1,"no",NA,"",NA,714.75,1.15,1,"Female","Non Indigenous",42,1,600,600,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,0,0,1,1,690.68,24.0700000000001,0
"12182",16,412846,4128466,1999,15,"","0","basal","pobre",16050154,1,"si",6,"primaria",6,527.5,4.02,1,"Male","Non Indigenous",59,1,600,0,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,690.68,-163.18,1
