"","entidad","hogid","iid","year","n002","n009","enroll_child","contba","pobreden","villid","panel","r042","r044a","r044b","r045","yycali","mpcalif","mppob","sex","lang","ageHH","sexHH","edu","eduHH","schyear","m1","m2","age","paths","attrit","D","pov_HH","D_HH","uniqhh","D_assign","maxcut","z","E"
"7397",13,557586,5575864,1999,16,"","0","basal","no pobre",13058003,1,"si",3,"secundaria",6,970,-0.18,0,"Male","Non Indigenous",29,1,800,900,"2nd Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,0,0,0,1,753,217,0
"7398",13,138718,1387189,1999,14,"","si","basal","pobre",13042022,1,"si",5,"primaria",6,707,4,1,"Female","Non Indigenous",52,1,500,300,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,753,-46,1
"7405",13,252397,2523976,1999,15,"","si","basal","pobre",13043004,1,"si",6,"primaria",6,873.98,2.78,1,"Male","Indigenous",45,1,500,0,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,0,0,1,1,753,120.98,0
"7409",13,558142,5581423,1999,15,"","si","basal","pobre",13035027,1,"si",1,"secundaria",6,705,1.85,1,"Male","Non Indigenous",36,1,600,0,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,753,-48,1
"7423",13,296050,2960505,1999,16,"","0","basal","no pobre",13057004,1,"si",2,"secundaria",6,925,1.07,1,"Male","Non Indigenous",48,1,700,200,"1st Secondary","matched (3)","matched (3)",16,"1 1 1",0,1,0,0,1,1,753,172,0
"7424",13,138491,1384915,1999,15,"","si","basal","pobre",13042022,1,"si",1,"primaria",6,724.5,3.32,1,"Male","Non Indigenous",58,1,500,0,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,753,-28.5,1
"7430",13,353978,3539783,1999,16,"","si","basal","pobre",13080030,1,"si",1,"secundaria",6,582,4.49,1,"Male","Indigenous",33,1,500,600,"5th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,753,-171,1
"7441",13,558119,5581194,1999,18,"","0","basal","no pobre",13057031,1,"",NA,"",NA,1003,1.2,1,"Female","Non Indigenous",52,1,600,400,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,0,0,1,1,753,250,0
"7445",13,250368,2503684,1999,14,"","si","basal","pobre",13026043,1,"si",6,"primaria",6,587,4.66,1,"Male","Non Indigenous",39,1,600,400,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,753,-166,1
"7447",13,558500,5585005,1999,16,"","si","basal","pobre",13077057,1,"si",3,"secundaria",6,704,2.69,1,"Male","Non Indigenous",49,0,600,300,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,0,1,753,-49,1
"7451",13,558191,5581918,1999,13,"","si","basal","pobre",13004014,1,"si",5,"primaria",6,431,3.72,1,"Male","Non Indigenous",49,1,500,100,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,1,1,1,1,753,-322,1
"7452",13,284320,2843209,1999,14,"","0","basal","pobre",13084028,1,"",NA,"",NA,704.57,1.32,1,"Female","Non Indigenous",60,1,600,300,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,0,1,753,-48.4299999999999,1
"7454",13,138718,1387187,1999,18,"","si","basal","pobre",13042022,1,"si",1,"secundaria",6,707,4,1,"Male","Non Indigenous",52,1,600,300,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,0,1,753,-46,1
"7456",13,392029,3920294,1999,19,"","","basal","pobre",13002024,1,"",NA,"",NA,443,3,1,"Female","Indigenous",52,1,600,200,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,0,1,753,-310,1
"7464",13,557605,5576056,1999,18,"","0","basal","pobre",13058003,1,"",NA,"",NA,746.75,4.37,1,"Female","Indigenous",47,1,600,200,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,1,1,753,-6.25,1
"7475",13,558986,5589865,1999,12,"","si","basal","pobre",13030103,1,"si",6,"primaria",5,924,1.45,1,"Male","Indigenous",35,1,600,600,"6th primary","matched (3)","matched (3)",13,"1 1 1",0,1,0,0,1,1,753,171,0
"7481",13,197796,1977964,1999,16,"","0","basal","pobre",13038003,1,"no",NA,"",NA,708.5,3.38,1,"Female","Non Indigenous",72,1,800,600,"2nd Secondary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,753,-44.5,1
"7492",13,653554,6535545,1999,15,"","si","basal","pobre",13018044,1,"si",2,"secundaria",6,746,1.64,1,"Male","Indigenous",46,1,500,200,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,753,-7,1
"7495",13,557542,5575424,1999,15,"","0","basal","no pobre",13058003,1,"si",3,"secundaria",6,965,2.12,1,"Female","Non Indigenous",40,1,700,400,"1st Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,0,0,0,1,753,212,0
"7498",13,137557,1375574,1999,18,"","0","basal","pobre",13031021,1,"",NA,"",NA,794,2.89,1,"Male","Non Indigenous",57,1,600,0,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,0,0,0,1,753,41,0
"7502",13,559154,5591543,1999,16,"","0","basal","pobre",13015030,1,"si",3,"secundaria",5,728,3.37,1,"Male","Indigenous",37,1,800,300,"2nd Secondary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,753,-25,1
"7510",13,556076,5560762,1999,13,"","si","basal","pobre",13015046,1,"si",1,"secundaria",6,733,2.56,1,"Female","Non Indigenous",63,1,700,0,"1st Secondary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,753,-20,1
"7511",13,249737,2497374,1999,17,"","si","basal","pobre",13006036,1,"",NA,"",NA,710,3.65,1,"Female","Indigenous",54,1,600,300,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,0,1,753,-43,1
"7513",13,352867,3528674,1999,14,"","si","basal","pobre",13046097,1,"si",6,"primaria",6,730.5,3.62,1,"Male","Indigenous",64,1,500,0,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,1,1,1,1,753,-22.5,1
"7519",13,558644,5586445,1999,12,"","0","basal","pobre",13016074,1,"si",6,"primaria",6,711.5,2.99,1,"Female","Non Indigenous",40,1,500,0,"5th primary","matched (3)","matched (3)",12,"1 1 1",0,1,1,1,1,1,753,-41.5,1
"7521",13,481920,4819204,1999,13,"","0","basal","pobre",13084028,1,"si",6,"primaria",6,586,3.88,1,"Female","Non Indigenous",42,0,500,600,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,1,1,1,1,753,-167,1
"7522",13,559171,5591713,1999,15,"","0","basal","pobre",13015030,1,"si",3,"primaria",6,710,2.74,1,"Female","Non Indigenous",43,1,600,600,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,753,-43,1
"7523",13,354036,3540365,1999,14,"","si","basal","pobre",13049038,1,"si",6,"primaria",6,675,3.69,1,"Female","Non Indigenous",36,1,600,300,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,753,-78,1
"7525",13,559102,5591023,1999,16,"","0","basal","pobre",13015010,1,"9",NA,"",NA,778,2.59,1,"Male","Non Indigenous",62,1,800,0,"2nd Secondary","matched (3)","matched (3)",16,"1 1 1",0,1,0,0,1,1,753,25,0
"7528",13,350636,3506362,1999,17,"","0","basal","pobre",13068050,1,"no",NA,"",NA,591,2.72,1,"Male","Indigenous",60,0,600,0,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,753,-162,1
"7534",13,559689,5596898,1999,10,"","0","basal","pobre",13030006,1,"si",6,"primaria",6,815.5,2.46,1,"Male","Indigenous",56,1,600,0,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,0,1,753,62.5,0
"7538",13,249869,2498694,1999,15,"","0","basal","pobre",13028102,1,"si",1,"secundaria",7,709.5,3.46,1,"Male","Non Indigenous",34,1,700,400,"1st Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,753,-43.5,1
"7539",13,559548,5595483,1999,17,"","0","basal","pobre",13059024,1,"si",6,"primaria",6,710,2.79,1,"Male","Non Indigenous",38,1,600,600,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,753,-43,1
"7542",13,199651,1996515,1999,14,"","0","basal","no pobre",13027002,1,"si",6,"primaria",6,839.67,2.34,1,"Male","Indigenous",60,0,500,0,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,0,0,1,1,753,86.67,0
"7544",13,653438,6534384,1999,16,"","0","basal","pobre",13018044,1,"si",6,"primaria",6,756,2.05,1,"Female","Indigenous",35,1,600,300,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,0,0,1,1,753,3,0
"7548",13,558719,5587195,1999,17,"","0","basal","no pobre",13016018,1,"si",3,"secundaria",6,822.33,1.75,1,"Male","Non Indigenous",44,1,800,200,"2nd Secondary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,1,1,753,69.33,0
"7554",13,559171,5591714,1999,13,"","si","basal","pobre",13015030,1,"si",6,"primaria",6,710,2.74,1,"Male","Non Indigenous",43,1,500,600,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,1,1,0,1,753,-43,1
"7555",13,199586,1995864,1999,15,"","0","basal","pobre",13027002,1,"si",3,"secundaria",6,596,4.31,1,"Male","Indigenous",31,1,500,0,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,753,-157,1
"7557",13,354052,3540523,1999,18,"","0","basal","pobre",13049038,1,"",NA,"",NA,712,3.19,1,"Female","Non Indigenous",37,1,600,300,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,1,1,753,-41,1
"7567",13,350487,3504875,1999,15,"","si","basal","pobre",13037042,1,"si",1,"secundaria",6,759,2.74,1,"Male","Non Indigenous",63,1,500,400,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,0,0,0,1,753,6,0
"7568",13,559286,5592863,1999,16,"","0","basal","pobre",13059055,1,"si",6,"primaria",6,845.5,1.56,1,"Male","Non Indigenous",39,1,600,0,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,0,0,1,1,753,92.5,0
"7570",13,138441,1384416,1999,15,"","si","basal","no pobre",13042022,1,"si",1,"secundaria",6,833,1.53,1,"Male","Non Indigenous",56,1,600,100,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,0,0,1,1,753,80,0
"7571",13,251940,2519406,1999,15,"","0","basal","pobre",13071005,1,"si",6,"primaria",6,854,2.97,1,"Male","Non Indigenous",60,1,500,0,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,0,0,1,1,753,101,0
"7577",13,250397,2503973,1999,17,"","si","basal","pobre",13026043,1,"si",2,"secundaria",7,713,2.79,1,"Male","Indigenous",50,1,700,300,"1st Secondary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,0,1,753,-40,1
"7585",13,555356,5553566,1999,16,"","si","basal","pobre",13068049,1,"si",6,"primaria",6,710.25,5.03,1,"Male","Non Indigenous",45,1,500,0,"5th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,0,1,753,-42.75,1
"7596",13,558644,5586443,1999,18,"","0","basal","pobre",13016074,1,"",NA,"",NA,711.5,2.99,1,"Male","Non Indigenous",40,1,600,0,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,0,1,753,-41.5,1
"7602",13,653439,6534394,1999,15,"","0","basal","pobre",13018044,1,"si",2,"secundaria",6,734.5,3.6,1,"Female","Indigenous",43,1,800,300,"2nd Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,753,-18.5,1
"7605",13,350732,3507325,1999,16,"","si","basal","pobre",13068050,1,"si",2,"secundaria",6,615,2.87,1,"Male","Non Indigenous",47,1,700,200,"1st Secondary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,753,-138,1
"7615",13,558167,5581674,1999,15,"","si","basal","pobre",13035027,1,"si",3,"secundaria",6,717,2.51,1,"Male","Non Indigenous",37,1,700,400,"1st Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,753,-36,1
"7633",13,250360,2503604,1999,14,"","si","basal","pobre",13026043,1,"si",1,"secundaria",6,618,3.45,1,"Female","Non Indigenous",18,1,600,800,"6th primary","matched (3)","matched (3)",13,"1 1 1",0,1,1,1,0,1,753,-135,1
"7642",13,350487,3504874,1999,17,"","0","basal","pobre",13037042,1,"si",3,"secundaria",6,759,2.74,1,"Female","Non Indigenous",63,1,800,400,"2nd Secondary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,1,1,753,6,0
"7644",13,558926,5589266,1999,15,"","si","basal","no pobre",13030103,1,"si",6,"primaria",6,896,1.14,1,"Male","Indigenous",42,1,800,500,"2nd Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,0,0,1,1,753,143,0
"7656",13,559021,5590216,1999,14,"","si","basal","no pobre",13030103,1,"si",1,"secundaria",6,1004,2.22,1,"Male","Indigenous",57,1,600,0,"6th primary","matched (3)","matched (3)",13,"1 1 1",0,1,0,0,1,1,753,251,0
"7659",13,138218,1382183,1999,16,"","si","basal","pobre",13030105,1,"si",1,"secundaria",6,882.5,2.78,1,"Female","Non Indigenous",58,1,600,0,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,0,0,1,1,753,129.5,0
"7660",13,250376,2503766,1999,14,"","si","basal","pobre",13026043,1,"si",1,"secundaria",6,682,3.83,1,"Male","Non Indigenous",48,1,600,200,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,0,1,753,-71,1
"7670",13,559715,5597153,1999,14,"","si","basal","pobre",13030006,1,"si",1,"secundaria",6,738,1.57,1,"Female","Indigenous",33,0,600,900,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,0,1,753,-15,1
"7674",13,251952,2519523,1999,13,"","si","basal","pobre",13071067,1,"si",6,"primaria",6,736,3.05,1,"Female","Non Indigenous",40,1,500,300,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,1,1,1,1,753,-17,1
"7675",13,684417,6844175,1999,15,"","0","basal","pobre",13037006,1,"si",6,"primaria",6,790.8,2.41,1,"Female","Non Indigenous",45,0,700,200,"1st Secondary","matched (3)","matched (3)",16,"1 1 1",0,1,0,0,1,1,753,37.8,0
"7678",13,200568,2005683,1999,15,"","0","basal","pobre",13014018,1,"si",4,"primaria",6,721,2.75,1,"Male","Non Indigenous",51,1,800,0,"2nd Secondary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,753,-32,1
"7682",13,197836,1978364,1999,16,"","si","basal","pobre",13027002,1,"si",6,"primaria",6,720.33,3.87,1,"Female","Non Indigenous",33,1,600,200,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,753,-32.67,1
"7683",13,199513,1995137,1999,14,"","si","basal","pobre",13027002,1,"si",6,"primaria",6,717.25,4.21,1,"Male","Indigenous",54,1,500,0,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,1,1,0,1,753,-35.75,1
"7684",13,199931,1999315,1999,13,"","0","basal","pobre",13053081,1,"si",6,"primaria",6,644,2.74,1,"Female","Indigenous",45,1,600,100,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,0,1,753,-109,1
"7685",13,558923,5589235,1999,17,"","0","basal","pobre",13030103,1,"si",6,"primaria",6,727,2.48,1,"Male","Indigenous",22,1,600,600,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,0,1,753,-26,1
"7687",13,251997,2519974,1999,17,"","0","basal","pobre",13071021,1,"si",2,"secundaria",6,664,2.56,1,"Male","Non Indigenous",39,1,700,200,"1st Secondary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,753,-89,1
"7693",13,197836,1978365,1999,15,"","si","basal","pobre",13027002,1,"si",3,"secundaria",6,720.33,3.87,1,"Male","Non Indigenous",33,1,500,200,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,0,1,753,-32.67,1
"7699",13,352852,3528526,1999,16,"","","basal","pobre",13046097,1,"si",6,"primaria",6,718,4.21,1,"Female","Non Indigenous",51,1,600,0,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,753,-35,1
"7703",13,558871,5588717,1999,16,"","si","basal","pobre",13030103,1,"si",3,"secundaria",6,741.5,2.41,1,"Female","Non Indigenous",41,1,800,900,"2nd Secondary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,753,-11.5,1
"7708",13,354493,3544934,1999,12,"","si","basal","pobre",13014019,1,"si",3,"primaria",6,667,3.46,1,"Male","Non Indigenous",37,1,500,200,"5th primary","matched (3)","matched (3)",12,"1 1 1",0,1,1,1,1,1,753,-86,1
"7713",13,350641,3506413,1999,15,"","si","basal","pobre",13068050,1,"si",2,"secundaria",6,536,3.08,1,"Female","Non Indigenous",39,1,700,600,"1st Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,753,-217,1
"7723",13,138719,1387193,1999,18,"","0","basal","pobre",13042022,1,"",NA,"",NA,505,3.73,1,"Female","Non Indigenous",43,1,600,300,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,0,1,753,-248,1
"7728",13,684344,68434410,1999,13,"","si","basal","pobre",13037006,1,"si",6,"primaria",6,668,2.71,1,"Male","Non Indigenous",49,1,500,300,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,1,1,0,1,753,-85,1
"7729",13,392035,3920358,1999,14,"","si","basal","pobre",13002024,1,"si",4,"primaria",6,429,3.38,1,"Male","Indigenous",55,1,700,0,"1st Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,753,-324,1
"7736",13,249652,2496524,1999,16,"","si","basal","pobre",13006036,1,"si",2,"secundaria",6,692,2.25,1,"Female","Indigenous",40,1,700,300,"1st Secondary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,0,1,753,-61,1
"7740",13,558005,5580055,1999,13,"","si","basal","pobre",13035027,1,"si",1,"secundaria",6,527.67,4.8,1,"Female","Non Indigenous",36,0,500,0,"5th primary","matched (3)","matched (3)",12,"1 1 1",0,1,1,1,1,1,753,-225.33,1
"7741",13,138461,1384616,1999,12,"","si","basal","pobre",13042022,1,"si",6,"primaria",6,665,2.16,1,"Male","Non Indigenous",53,1,500,200,"5th primary","matched (3)","matched (3)",12,"1 1 1",0,1,1,1,0,1,753,-88,1
"7747",13,138434,1384346,1999,15,"","0","basal","pobre",13042022,1,"si",3,"secundaria",6,725.5,3.13,1,"Female","Non Indigenous",47,1,800,300,"2nd Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,0,1,753,-27.5,1
"7749",13,137554,1375544,1999,17,"","0","basal","pobre",13031021,1,"no",NA,"",NA,726,3.58,1,"Male","Non Indigenous",65,1,600,0,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,753,-27,1
"7755",13,199626,1996265,1999,16,"","si","basal","pobre",13027002,1,"si",3,"secundaria",6,685,3.27,1,"Male","Indigenous",29,1,700,600,"1st Secondary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,753,-68,1
"7768",13,500999,5009995,1999,16,"","si","basal","pobre",13081005,1,"si",1,"secundaria",6,772,1.47,1,"Female","Non Indigenous",40,1,700,600,"1st Secondary","matched (3)","matched (3)",16,"1 1 1",0,1,0,0,1,1,753,19,0
"7775",13,251499,2514995,1999,17,"","0","basal","pobre",13062104,1,"si",6,"primaria",6,604,3.01,1,"Female","Non Indigenous",35,1,600,200,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,753,-149,1
"7783",13,559271,5592717,1999,14,"","0","basal","pobre",13059055,1,"si",6,"primaria",6,608.8,2.41,1,"Male","Non Indigenous",40,1,600,100,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,753,-144.2,1
"7786",13,558861,5588613,1999,17,"","0","basal","no pobre",13030103,1,"si",9,"",99,816.5,2.14,1,"Male","Indigenous",36,1,700,600,"1st Secondary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,1,1,753,63.5,0
"7796",13,354908,3549085,1999,16,"","si","basal","pobre",13014019,1,"si",3,"primaria",6,705,3.65,1,"Male","Non Indigenous",57,1,600,0,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,753,-48,1
"7804",13,196765,1967655,1999,18,"","0","basal","pobre",13027002,1,"si",1,"secundaria",6,765,2.44,1,"Male","Indigenous",50,1,700,300,"1st Secondary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,1,1,753,12,0
"7813",13,688160,6881604,1999,17,"","si","basal","no pobre",13084061,1,"si",3,"secundaria",6,1010,0.44,0,"Female","Non Indigenous",58,1,800,300,"2nd Secondary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,1,1,753,257,0
"7817",13,559227,5592276,1999,14,"","","basal","pobre",13059022,1,"si",6,"primaria",12,750.5,3.1,1,"Female","Non Indigenous",61,1,600,0,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,753,-2.5,1
"7820",13,559312,5593124,1999,14,"","0","basal","pobre",13059055,1,"si",5,"primaria",6,841,1.36,1,"Female","Non Indigenous",44,1,600,300,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,0,0,1,1,753,88,0
"7831",13,350678,3506786,1999,14,"","si","basal","pobre",13068050,1,"si",1,"secundaria",6,671,2.76,1,"Male","Non Indigenous",53,1,500,200,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,0,1,753,-82,1
"7837",13,249872,2498722,1999,18,"","0","basal","pobre",13028102,1,"",NA,"",NA,734,2.3,1,"Female","Indigenous",27,1,500,900,"5th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,1,1,753,-19,1
"7849",13,252252,2522525,1999,16,"","0","basal","pobre",13043004,1,"",NA,"",NA,801.5,1.98,1,"Female","Indigenous",46,1,800,200,"2nd Secondary","matched (3)","matched (3)",16,"1 1 1",0,1,0,0,1,1,753,48.5,0
"7862",13,354913,3549135,1999,16,"","si","basal","pobre",13014019,1,"si",1,"secundaria",6,657,2.97,1,"Female","Non Indigenous",52,1,600,0,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,0,1,753,-96,1
"7869",13,559161,5591617,1999,14,"","si","basal","pobre",13015030,1,"si",1,"secundaria",6,821,2.59,1,"Male","Indigenous",44,1,600,200,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,0,0,1,1,753,68,0
"7870",13,558893,5588934,1999,14,"","0","basal","pobre",13030103,1,"si",1,"secundaria",5,732,1.21,1,"Male","Indigenous",35,1,600,600,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,753,-21,1
"7874",13,253156,2531565,1999,12,"","si","basal","pobre",13046084,1,"si",5,"primaria",6,816,3.14,1,"Male","Indigenous",58,1,500,0,"5th primary","matched (3)","matched (3)",12,"1 1 1",0,1,0,0,0,1,753,63,0
"7878",13,481130,4811303,1999,19,"","","basal","pobre",13084061,1,"",NA,"",NA,754,2.17,1,"Male","Non Indigenous",76,1,600,200,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,0,0,0,1,753,1,0
"7895",13,559611,5596113,1999,16,"","0","basal","pobre",13001043,1,"si",6,"primaria",6,430,3.87,1,"Male","Non Indigenous",40,1,500,0,"5th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,753,-323,1
"7905",13,494981,4949816,1999,17,"","0","basal","pobre",13004016,1,"si",1,"preparatoria",6,536,1.95,1,"Female","Non Indigenous",50,1,800,600,"2nd Secondary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,753,-217,1
"7906",13,350693,3506934,1999,16,"","si","basal","pobre",13068050,1,"si",2,"secundaria",6,507,3.24,1,"Male","Non Indigenous",46,1,700,0,"1st Secondary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,753,-246,1
"7916",13,250383,2503834,1999,13,"","si","basal","no pobre",13026043,1,"si",6,"primaria",6,809,2.49,1,"Male","Non Indigenous",50,1,500,300,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,0,0,1,1,753,56,0
"7918",13,199530,1995304,1999,14,"","si","basal","pobre",13027002,1,"si",1,"secundaria",6,677.5,3.91,1,"Male","Indigenous",42,1,500,0,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,0,1,753,-75.5,1
"7924",13,558678,5586785,1999,17,"","0","basal","no pobre",13016018,1,"",NA,"",NA,885,3.92,1,"Female","Non Indigenous",76,1,600,0,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,0,0,1,1,753,132,0
"7933",13,481830,4818304,1999,17,"","si","basal","no pobre",13084028,1,"si",6,"primaria",6,876,1.84,1,"Female","Non Indigenous",47,1,600,300,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,1,1,753,123,0
"7949",13,558122,5581226,1999,17,"","0","basal","pobre",13057031,1,"si",6,"primaria",6,736.25,2.67,1,"Male","Non Indigenous",41,1,600,200,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,753,-16.75,1
"7953",13,494983,4949836,1999,13,"","si","basal","pobre",13004016,1,"si",6,"primaria",6,616,3.66,1,"Female","Non Indigenous",38,1,500,300,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,1,1,0,1,753,-137,1
"7959",13,284310,2843105,1999,13,"","0","basal","pobre",13084028,1,"si",6,"primaria",6,683,3.8,1,"Female","Non Indigenous",55,1,600,200,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,0,1,753,-70,1
"7964",13,197925,1979252,1999,16,"","0","basal","pobre",13053162,1,"si",6,"primaria",6,679,2.45,1,"Female","Non Indigenous",37,0,600,0,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,753,-74,1
"7965",13,138434,1384347,1999,13,"","si","basal","pobre",13042022,1,"si",6,"primaria",6,725.5,3.13,1,"Female","Non Indigenous",47,1,500,300,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,1,1,1,1,753,-27.5,1
"7966",13,354007,3540073,1999,18,"","0","basal","pobre",13049038,1,"",NA,"",NA,441,4.2,1,"Male","Non Indigenous",36,1,800,100,"2nd Secondary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,0,1,753,-312,1
"7967",13,686885,6868855,1999,14,"","si","basal","pobre",13045010,1,"si",1,"secundaria",6,701.5,3.17,1,"Male","Non Indigenous",38,1,600,600,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,0,1,753,-51.5,1
"7976",13,352869,3528694,1999,17,"","0","basal","pobre",13046097,1,"no",NA,"",NA,674,4.21,1,"Male","Indigenous",46,1,500,0,"5th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,753,-79,1
"7983",13,199655,1996556,1999,17,"","0","basal","pobre",13027002,1,"",NA,"",NA,737,4.18,1,"Male","Indigenous",43,1,600,0,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,1,1,753,-16,1
"7985",13,558108,5581084,1999,17,"","si","basal","pobre",13057031,1,"si",6,"primaria",6,617,1.5,1,"Male","Non Indigenous",41,1,600,100,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,0,1,753,-136,1
"7991",13,140304,1403043,1999,15,"","si","basal","pobre",13030105,1,"si",3,"secundaria",6,736,4.13,1,"Male","Non Indigenous",34,1,700,600,"1st Secondary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,753,-17,1
